CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydro pumped storage , other conventioanl , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
44," 1,203.29 ", 378.83 , 789.63 ," 3,647.58 ", 478.81 , 37.19 ," 1,954.83 "," 3,733.71 "," 1,638.51 "," 1,212.34 ", 242.75 , 371.83 ," 14,489.03 "," 9,573.33 ", 333.62 ," 8,911.22 "," 6,778.09 "," 1,670.85 "
45," 1,206.86 ", 332.92 , 624.35 ," 2,098.62 ", 496.98 , 37.75 ," 2,096.53 "," 3,794.00 "," 2,573.29 "," 1,774.75 ", 247.52 , 401.40 ," 14,750.02 "," 11,530.36 ", 295.44 ," 10,639.96 "," 5,045.00 "," 1,161.14 "
46," 1,211.79 ", 324.29 , 676.43 ," 3,177.15 ", 533.34 , 38.00 ," 2,189.57 "," 3,582.92 "," 2,473.23 "," 1,469.79 ", 218.04 , 390.28 ," 15,082.47 "," 10,695.81 ", 306.23 ," 10,105.79 "," 6,179.04 "," 1,945.76 "
47," 1,229.12 ", 345.43 , 655.96 ," 3,193.75 ", 288.11 , 37.98 ," 2,300.64 "," 3,660.20 "," 2,771.97 "," 1,922.45 ", 259.04 , 401.25 ," 15,464.42 "," 11,326.92 ", 263.77 ," 11,056.50 "," 6,009.39 "," 2,033.68 "
48," 1,194.25 ", 310.10 , 831.47 ," 3,093.08 ", 230.55 , 37.58 ," 2,301.92 "," 3,701.54 "," 2,616.08 "," 1,934.79 ", 260.79 , 416.94 ," 15,622.19 "," 11,467.39 ", 317.45 ," 10,971.26 "," 5,957.82 "," 1,796.33 "
49," 1,149.40 ", 331.72 , 993.76 ," 5,519.81 ", 193.72 , 34.95 ," 2,194.37 "," 3,073.48 "," 1,577.81 "," 1,443.62 ", 282.98 , 397.96 ," 15,724.61 "," 9,017.61 ", 376.60 ," 8,687.25 "," 8,506.34 "," 2,180.73 "
50," 1,181.75 ", 392.37 , 784.94 ," 3,838.51 ", 163.40 , 34.23 ," 2,281.59 "," 3,424.69 "," 2,749.62 "," 1,954.81 ", 316.01 , 408.73 ," 15,891.41 "," 11,104.83 ", 360.50 ," 10,819.33 "," 6,711.19 "," 2,283.91 "
51," 1,221.69 ", 325.97 , 702.97 ," 3,706.59 ", 146.13 , 33.53 ," 2,313.29 "," 3,553.07 "," 2,371.26 "," 1,756.71 ", 292.27 , 415.22 ," 15,290.07 "," 10,734.65 ", 337.62 ," 10,409.52 "," 6,429.15 "," 2,366.52 "
52," 1,227.03 ", 434.05 , 785.02 ," 3,321.76 ", 204.64 , 33.91 ," 2,315.34 "," 2,406.65 "," 1,230.67 "," 1,200.74 ", 274.47 , 400.63 ," 12,470.68 "," 8,159.57 ", 317.11 ," 7,554.03 "," 6,280.87 "," 1,909.03 "
53," 1,226.82 ", 373.96 , 631.96 ," 3,661.35 ", 113.48 , 34.00 ," 2,256.32 "," 2,281.98 "," 1,031.03 "," 1,025.81 ", 292.49 , 394.60 ," 12,045.20 "," 7,638.76 ", 369.22 ," 6,989.74 "," 6,334.08 "," 1,710.04 "
